# 이 표는 우리 순위가 아니다. 우리 순위는 지표 가중합이 아니라 실제 질문·답변의
# 채점이다(JUDGING.md). 지표로 줄 세우는 방식은 우리가 실측으로 폐기했다.
# 여기 있는 것은 **재계산에 필요한 원자료를 편 것**이다.
name,category,ours,repo_url,status,reachable,needs_key,tool_count,warm_ms,cold_ms,described_pct,desc_median,input_schema_pct,output_schema_pct,annotated_pct,readonly_pct,self_hosting,license,repo_public,paid_disclosed,tools_total,tools_free,tools_paid,rank_in_category,factual_errors
capitalparser/kreports-dart-mcp,금융·증시,0,https://github.com/capitalparser/kreports-dart-mcp,,,,,,,,,,,,,source_only,Apache-2.0,1,0,,,,,
capitalparser/public-data-opportunity-mcp,공공데이터·행정,0,https://github.com/capitalparser/public-data-opportunity-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
cdsassj00/korean-law-ai-chatbot,법령·판례,0,https://github.com/cdsassj00/korean-law-ai-chatbot,,,,,,,,,,,,,source_only,,1,0,,,,,
changgi/open-go-kr-archive,공공데이터·행정,0,https://github.com/changgi/open-go-kr-archive,,,,,,,,,,,,,source_only,,1,0,,,,,
choyeonkyu/mcp-ai-agent,커머스·생활,0,https://github.com/choyeonkyu/mcp-ai-agent,,,,,,,,,,,,,packaged,,1,0,,,,,
chrisryugj/archhub-mcp,공공데이터·행정,0,https://github.com/chrisryugj/archhub-mcp,unverified,0,0,,,5250,,,,,,,source_only,MIT,1,0,,,,,
chrisryugj/korean-dart-mcp,금융·증시,0,https://github.com/chrisryugj/korean-dart-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
chrisryugj/korean-law-mcp,법령·판례,0,https://github.com/chrisryugj/korean-law-mcp,live,1,0,10,204,202,100,215,100,0,100,100,packaged,MIT,1,0,,,,1,1
chrisryugj/korean-patent-mcp,공공데이터·행정,0,https://github.com/chrisryugj/korean-patent-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
chrisryugj/schoolinfo-mcp,교육·문화,0,https://github.com/chrisryugj/schoolinfo-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
chromato99/krx-rule-mcp,금융·증시,0,https://github.com/chromato99/krx-rule-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
civilian7/korean-people-persona,기타,0,https://github.com/civilian7/korean-people-persona,,,,,,,,,,,,,source_only,,1,0,,,,,
clayop/korean-university-regulation-mcp,교육·문화,0,https://github.com/clayop/korean-university-regulation-mcp,live,1,0,4,10066,10068,50,20,100,0,0,0,packaged,MIT,1,0,,,,,
com.aikstockdata/mcp,금융·증시,0,https://github.com/na77tech-creator/aikstockdata,live,1,0,12,23,33,100,477,75,0,100,100,source_only,MIT,1,0,,,,1,5
com.airblockfz/seoul-apt-signal,부동산,0,,live,1,0,6,36,27,100,437,100,0,0,0,unknown,,,0,,,,2,1
com.airblockfz/stock-signal-kr,금융·증시,0,,live,1,0,5,28,28,100,430,100,0,0,0,unknown,,,0,,,,,
com.arcasos/arcasos-rentals,커머스·생활,0,,live,1,0,3,548,652,100,652,100,0,0,0,unknown,,,0,,,,2,2
com.beauticslab/mcp,커머스·생활,0,https://github.com/websfactory/beauticslab-mcp,live,1,1,,,153,,,,,,,source_only,,1,0,,,,,
com.boltena/erp,기타,0,,live,1,1,,,128,,,,,,,unknown,,,0,,,,,
com.empresskorea/kbeauty-agent-commons,커머스·생활,0,,live,1,1,,,304,,,,,,,unknown,,,0,,,,,
com.goldpopcon/openapi-mcp,기타,0,https://github.com/keumbang/goldpopcon-openapi-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
com.goodsaegim/goodsaegim,커머스·생활,0,,live,1,1,,,132,,,,,,,unknown,,,0,,,,,
com.hankookilbo.mcp/hankookilbo-mcp,미디어·뉴스,0,https://github.com/hkilbo/hankookilbo-mcp,live,1,0,10,217,224,100,200,60,100,100,100,source_only,,1,0,,,,,
com.kimchi-sushi/agent-mcp,커머스·생활,0,,live,1,0,6,214,234,100,87,67,100,100,100,unknown,,,0,,,,,
com.koreastockcheck/mcp,금융·증시,0,https://github.com/koreastockcheck/mcp,live,1,1,,,42,,,,,,,source_only,,1,0,,,,,
com.nmjib/nmjib,커머스·생활,0,https://github.com/Deall-International/nmjib-mcp,live,1,0,10,250,243,100,268,100,0,100,60,packaged,MIT,1,0,,,,,
com.saaskr/korean-saas-directory,커머스·생활,0,,live,1,0,5,228,238,100,49,80,0,0,0,unknown,,,0,,,,,
com.seoapi/naverbot,기타,0,,live,1,0,1,27,27,100,141,100,0,0,0,unknown,,,0,,,,,
com.thenextgennexus/global-equities-screener-mcp,금융·증시,0,,live,1,0,26,31,36,100,179,100,0,100,100,unknown,,,0,,,,,
com.theprotoclinical/commerce,커머스·생활,0,,live,1,0,13,142,217,100,489,100,0,0,0,unknown,,,0,,,,3,2
com.whooing/whooing,커머스·생활,0,,unverified,0,0,,,188,,,,,,,unknown,,,0,,,,,
constant94-dev/public-data-mcp-server,공공데이터·행정,0,https://github.com/constant94-dev/public-data-mcp-server,,,,,,,,,,,,,source_only,,1,0,,,,,
coyaSONG/kra-mcp,커머스·생활,0,https://github.com/coyaSONG/kra-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
ctahoon55/taxlaw-mcp,세금·재정,0,https://github.com/ctahoon55/taxlaw-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
